Name	Parent Skill	Mastery Level	Spell Cost	Casting Time 	Range 	Shape 	Duration	Effects	Container Breakdown	Add ons	Modifiers	Notes/Special Conditions	Flavor Line	Progressive spell conditions
Annihilation Field	Negation	High Master	78	39	Line of Sight	Sphere (60 ft radius)	2 Combat Rounds	A massive zone where all active magical effects up to Master tier are suppressed or destroyed; new spells cast into the zone fizzle unless High Master or higher.	Container 1: AoE (2) + Stand Alone: Counter/Cancel (6) + Stand Alone: Debuff (–15% magical potency = 6) = 14; Container 2: Control (2) + Stand Alone: Silence (5) + Stand Alone: Anchor/Lock (6) = 13; Subtotal = 27. Add-Ons: Range Line of Sight (10); Shape Sphere 60 ft radius (11); Duration 2 Combat Rounds (10) = +31. Modifiers: Backlash Risk (–5); Expose/Conceal (+2); Concentration (–2). Final Total = 78.	Range Line of Sight (10); Shape Sphere (11); Duration 2 Combat Rounds (10).	Backlash Risk (–5); Expose/Conceal (+2); Concentration (–2).	High Master notes: Suppresses both allies’ and enemies’ effects. Backlash: caster takes 2d6 psychic damage if concentration breaks. Creates null zone where magic items temporarily lose effects.	The silence here is not peace—it is devouring.	—
Reflective Maelstrom	Negation	High Master	84	42	Medium (60 ft)	Radius (30 ft)	1 Combat Round + Lingering (2 steps)	For 1 round, up to 5 hostile spells directed at the caster or allies are reflected or redirected. Spells too strong to reflect are partially canceled, reducing their effect by 50%.	Container 1: AoE (2) + Stand Alone: Counter/Cancel (6) + Stand Alone: Debuff (–10% accuracy for reflected spells = 4) = 12; Container 2: Control (2) + Stand Alone: Redirect/Reflect (treated extension = 10) + Stand Alone: Link/Bind (6) = 18; Subtotal = 30. Add-Ons: Range Medium (5); Shape Radius 30 ft (7); Duration Combat Round (5) + Lingering 2 steps (4) = +21. Modifiers: Release (Delayed) (+2); Backlash Risk (–5); Per Success Assignment (+3); Expose/Conceal (+2). Final Total = 84.	Range Medium (5); Shape Radius 30 ft (7); Duration Combat Round (5) + Lingering (4).	Release (Delayed) (+2); Backlash Risk (–5); Per Success Assignment (+3); Expose/Conceal (+2).	High Master notes: Can reflect up to 5 spells before collapse. Spells too strong (Grand Master) cannot be reflected but are halved. Backlash: each failed reflect roll deals 1d6 damage to caster. Ends early if caster is stunned.	Chaos in the storm chooses no side.	—
Oblivion Veil	Negation	Grand Master	168	84	Unlimited	Sphere (300 ft radius)	3 Combat Rounds + Lingering (5 steps)	An enormous zone of anti-magic that nullifies *all* magical effects within 300 ft; cancels ongoing spells, prevents new spells, severs enchantments, and banishes conjured beings. Even Grand Master effects must succeed a saving roll or collapse.	Container 1: AoE (2) + Stand Alone: Counter/Cancel (6) + Stand Alone: Debuff (–20% magical potency = 8) + Stand Alone: Banish (10) = 26; Container 2: Control (2) + Stand Alone: Silence (5) + Stand Alone: Anchor/Lock (6) = 13; Nested Container: Temporal/Spatial (5) + Stand Alone: Spatial Bubble (8) + Stand Alone: Temporal Stasis (6) = 19; Subtotal = 58. Add-Ons: Range Unlimited (15); Shape Sphere 300 ft radius (29); Duration 3 Combat Rounds (15) + Lingering 5 steps (10) = +69. Modifiers: Backlash Risk (–5); Concentration (–2); Expose/Conceal (+2); Environmental Dependency (–3). Final Total = 168.	Range Unlimited (15); Shape Sphere (29); Duration 3 Combat Rounds (15) + Lingering (10).	Backlash Risk (–5); Concentration (–2); Expose/Conceal (+2); Environmental Dependency (–3).	Grand Master notes: • Allies and enemies equally affected—no exceptions. • All magical effects (items, wards, enchantments, summoned beings) collapse inside the Veil. • Even Grand Master spells require saves each round or fail. • Backlash: caster takes 5d6 psychic damage per round sustained. • After effect ends, ambient magic in the area remains suppressed for 1 hour per combat round of duration. • Casting Oblivion Veil twice in the same region risks permanent dead-magic zones. • Mortal casters rarely survive more than one use.	“When the Veil falls, magic itself forgets how to exist.”	—
Object Echo	Clairsentience	Apprentice	7	4	Touch	Single Target	Combat Step	Reveals the strongest recent impression or last significant user of the touched object.	Target (1) + Reveal/Detect (4)	Range: Touch (2); Duration: Combat Step (2)	Concentration (-2)	• If the object is rarely used, impressions are faint or fraG.O.Dented. • Conflicting echoes may blur specifics (G.O.D discretion). • Breaking concentration ends the glimpse early.	“The past clings to all things—listen, and it whispers back.”	N/A
Danger Sense	Clairsentience	Apprentice	6	3	Self	Single Target	Combat Step	+5% to defensive rolls or initiative checks for 1 step.	Target (1) + Buff (2)	Range: Self (1); Duration: Combat Step (2)	—	• Triggers best against immediate threats within the scene. • Does not guarantee avoidance—merely tilts odds. • Manifestations vary: a jolt, a hush, a prickle at the neck.	“The mind moves before the body knows why.”	N/A
Aura Glimpse	Clairsentience	Apprentice	10	5	Short (30 ft)	Single Target	Instantaneous	Reveals surface emotional state and immediate intent for a moment.	Target (1) + Reveal/Detect (4)	Range: Short (4); Duration: Instantaneous (1)	—	• Information is momentary and can be missed if not heeded. • Deep or shielded motives require higher-tier techniques. • Strong deception may show as turbulent or “split” colors.	“In every soul burns a light; in every shadow, a secret.”	N/A
Thread of Fate	Clairsentience	Novice	12	6	Short (30 ft)	Single Target	Combat Round	Reveals “threat / opportunity / neutral” for the target’s immediate path.	Target (1) + Reveal/Detect (4) + Buff (2)	Range: Short (4); Duration: Combat Round (5)	—	• Provides broad guidance only, not exact details. • Works best on individuals actively making choices. • Overuse may create conflicting impressions.	“Every choice carries a shadow of tomorrow.”	N/A
Echo Reading	Clairsentience	Novice	15	8	Medium (60 ft)	Radius (10 ft)	Combat Round	Reveals whether creatures have passed through the area recently; grants +10% to Perception for hidden traces.	AoE (2) + Reveal/Detect (4)	Range: Medium (5); Shape: Radius 10 ft (3); Duration: Combat Round (5); Sense Modifier (2)	—	• Fails if the area is magically scrubbed/cleansed. • Crowded areas yield only strongest lingering presence. • May reveal strong emotional residue.	“The walls themselves remember.”	N/A
Aura Veil Pierce	Clairsentience	Novice	18	9	Short (30 ft)	Single Target	Combat Round	Allows detection of lies or concealed motives; grants ±10 to Insight or opposed rolls.	Target (1) + Reveal/Detect (4) + Debuff (2)	Range: Short (4); Duration: Combat Round (5); Sense Modifier (2)	—	• Strong-willed targets may resist (Wisdom save at G.O.D. discretion). • Long-term ailments may show faintly, but not fully diagnosed. • May cause sensory overload if multiple targets are attempted.	“No mask is perfect—the aura always flickers.”	N/A
Web of Insight	Clairsentience	Master	28	14	Medium (60 ft)	Sphere (20 ft)	Combat Round	Maps energetic connections between visible beings and objects, revealing alliances, bindings, or hostility.	Target (1) + AoE (2) + Reveal/Detect (4) + Link/Bind (6)	Range: Medium (5); Shape: Sphere 20 ft (8); Duration: Combat Round (5)	Concentration (-2)	• Connections appear as glowing threads only visible to caster. • Reveals type of relationship, not exact details. • Complex areas with dozens of ties may overwhelm or blur. • If disrupted, threads snap suddenly, causing psionic backlash (1d4 damage).	“All things are bound; I simply see the knots.”	N/A
Foresight Step	Clairsentience	Master	32	16	Self	Single Target	Combat Round	Caster gains +10% to attack rolls and +10% to defense rolls this round; may choose to “preempt” one incoming strike (G.O.D. adjudicated).	Target (1) + Buff (2) + Temporal/Spatial (5)	Range: Self (1); Duration: Combat Round (5); Static Assignment (1)	Concentration (-2)	• Preempting a strike forces a Willpower save vs caster’s roll. • Splitting into multiple futures risks mental strain (lose 1d4 initiative next round if concentration breaks). • Caster feels the “echo” of possible deaths. • Cannot be stacked or repeated consecutively.	“The next step has already been taken.”	N/A
Echo Chamber	Clairsentience	Master	40	20	Long (120 ft)	Zone (30 ft)	Combat Round	Reveals all creatures, objects, and hidden features in the zone; illusions are disrupted or revealed.	AoE (2) + Reveal/Detect (4) + Illusion/Mask (4)	Range: Long (7); Shape: Zone 30 ft (11); Duration: Combat Round (5); Sense Modifier (2)	Concentration (-2)	• Illusions do not vanish, but become translucent to caster’s sight. • Sound-based illusions falter outright. • High mana cost makes it fatiguing; if cast more than once per day, caster suffers -10% Perception until rest. • Targets within may feel “listened to” or exposed.	“The world hums, and in its chorus, lies cannot hide.”	N/A
Threads of Destiny	Clairsentience	High Master	64	32	Medium (60 ft)	Sphere (30 ft)	Combat Round	Allies gain +15% to defense and initiative rolls; enemies suffer -10% to attack rolls; psion may force one enemy to reroll an action.	Target (1) + AoE (2) + Control (2) + Buff (2) + Debuff (2)	Range: Medium (5); Shape: Sphere 30 ft (11); Duration: Combat Round (5)	Concentration (-2); Static Assignment (1)	• Reroll effect usable once per cast; requires Willpower save if enemy is strong-willed. • Splitting across multiple futures risks caster backlash (1d6 self damage if concentration breaks). • Threads blur if more than 12 beings are present, reducing bonuses/penalties by half. • Cannot be stacked with other foresight effects. • Allies may feel unsettling déjà vu.	“Every step was always meant to fall exactly here.”	N/A
World’s Whisper	Clairsentience	High Master	82	41	Long (120 ft)	Zone (60 ft)	Combat Round	Reveals all hidden, invisible, or concealed creatures/objects; grants allies +15% Perception and negates Stealth in the zone.	AoE (2) + Reveal/Detect (4) + Illusion/Mask (4) + Control (2)	Range: Long (7); Shape: Zone 60 ft (17); Duration: Combat Round (5); Sense Modifier (2)	Concentration (-2); Environmental Dependency (-3)	• Overwhelming—caster risks daze (Willpower save or lose 1 action). • Strong illusions are not destroyed, but revealed. • Environmental dependency: silence or magically dead zones reduce effectiveness by 50%. • Fatiguing: caster suffers -10% Perception until next rest. • Allies may feel exposed as if their secrets are laid bare. • Enemies often recognize they are “being watched.”	“The land itself speaks—I am only its voice.”	N/A
Eyes Beyond Time	Clairsentience	Grand Master	120	60	Unlimited	Sphere (120 ft)	Combat Round	All enemies in the zone suffer –15% to all rolls; all allies gain +20% to rolls. Once per round, the psion may declare a “foreseen” outcome, forcing a reroll or negating an action.	Target (1) + AoE (2) + Temporal/Spatial (5) + Control (2) + Buff (2) + Debuff (2) + Reveal/Detect (4)	Range: Unlimited (15); Shape: Sphere 120 ft (23); Duration: Combat Round (5)	Concentration (-2); Backlash Risk (-5); Static Assignment (1)	• Caster suffers severe backlash if concentration breaks: 3d6 psychic damage + stunned for 1 round. • May only be used once per day; repeated attempts collapse caster into temporal feedback (G.O.D fiat). • Allies feel uncanny synchronicity but may fear loss of free will. • Enemies often sense their actions are already “undone.” • Battlefield may experience subtle anomalies: reversed sound, repeating motions, shadows moving independently. • If abused, reality may scar (permanent G.O.D narrative change).	“I see the battle not as it is—but as it already was.”	N/A
Mind-Forge Tool	Metacreativity	Apprentice	9	5	Self	—	Combat Step	Creates a simple, handheld tool suitable for one immediate task; object behaves as durable steel for the duration, then vanishes.	Container: Target (1) + Stand Alone: Create/Destroy (Basic) (5)	Range: Self (1); Duration: Combat Step (2)	—	Limited to simple tools with no moving parts beyond a hinge; fractures if used to exceed human leverage.	“Thought becomes leverage.”	—
Force Buckler	Metacreativity	Apprentice	7	4	Self	—	Combat Step	Buff: +10% to defense/blocks for the duration; visible force-shield manifests on the caster’s arm.	Container: Target (1) + Stand Alone: Buff (+10% = 4)	Range: Self (1); Duration: Combat Step (2)	—	Requires active guard; provides no benefit if unaware or incapacitated; does not stack with another manifested shield.	“Raise your will; the world meets it.”	—
Psi-Edge Blade	Metacreativity	Apprentice	10	5	Self	—	Combat Round	Buff: +5% accuracy and +1 damage with manifested blade for the duration.	Container: Target (1) + Stand Alone: Buff +1 damage = 3	Range: Self (1); Duration: Combat Round (5)	—	Counts as a light melee weapon; vanishes if disarmed; cannot be thrown.	“Hold the line where reality thins.”	—
Ectoplasmic Barrier	Metacreativity	Novice	15	8	Short (30 ft)	Wall (30 ft)	Combat Round	Manifests a solid wall of psionic force (30 ft long); blocks movement and ranged attacks until duration ends.	Container: AoE (2) + Stand Alone: Create/Destroy (Major) (12)	Range: Short (4); Shape: Wall (30 ft) (4); Duration: Combat Round (5)	—	• Provides total cover against line-of-sight effects until destroyed or duration ends. • Physical attacks can attempt to break with STR check vs caster roll. • Does not move once placed.	“A thought made fortress.”	—
Ephemeral Ally	Metacreativity	Novice	17	9	Medium (60 ft)	—	Combat Round	Summons a minor ephemeral creature (wolf-sized) that can attack or defend; vanishes when defeated or duration ends.	Container: Target (1) + Stand Alone: Summon (Minor) (8)	Range: Medium (5); Duration: Combat Round (5)	—	• Summon has stats comparable to mundane wolf (light damage, moderate defense). • Controlled as free mental action each round. • Counts as psionic construct, not true creature.	“From will, a guardian takes shape.”	—
Force Lance	Metacreativity	Novice	13	7	Medium (60 ft)	Line (30 ft)	Instantaneous	Deals 2 damage points (base 1 +1 extra) in a piercing line 30 ft long, striking all creatures in path.	Container: AoE (2) + Stand Alone: Damage (3 + 2 extra = 5)	Range: Medium (5); Shape: Line (30 ft) (3); Duration: Instantaneous (1)	—	• Treat as piercing/thrusting attack for resistance purposes. • Requires line of sight to all affected targets. • Cannot curve or bend once fired.	“A thought sharpened into a spear.”	—
Citadel of Thought	Metacreativity	Master	30	15	Long (120 ft)	Sphere/Cube (20 ft zone)	Combat Round	Manifests a temporary fortress-like wall or cube (20 ft zone) that provides total cover and obstructs movement.	Container: AoE (2) + Stand Alone: Create/Destroy (Major) (12)	Range: Long (7); Shape: Sphere/Cube Zone (5+3 for 20 ft zone=8); Duration: Combat Round (5)	—	• Provides solid barrier with hardness similar to stone. • May trap allies or enemies if created around them (Dex save to dive clear). • Cannot move once placed; vanishes when duration ends.	“A fortress raised from pure will.”	—
Eidolon Construct	Metacreativity	Master	36	18	Short (30 ft)	—	Combat Round	Summons a major ephemeral ally (human-sized construct) with moderate combat stats; acts autonomously but within caster’s broad intent.	Container: Target (1) + Stand Alone: Summon (Major) (15)	Range: Short (4); Duration: Combat Round (5)	—	• Construct has stats similar to a seasoned warrior. • Can be targeted/destroyed as normal creature. • Vanishes instantly if caster is incapacitated.	“A guardian born of imagination, bound by will.”	—
Reality Armory	Metacreativity	Master	42	21	Medium (60 ft)	Multi-Target (3 allies)	Combat Round	Manifests a personal weapon or shield for each ally (up to 3); each item grants +5% attack or +5% defense during duration.	Container: Target (1) + Stand Alone: Create/Destroy (Basic) (5)	Range: Medium (5); Duration: Combat Round (5); Multi-Target (3)	—	• Each ally chooses one weapon/shield manifestation on creation. • Objects vanish if dropped or thrown. • Items are psionic projections, not physical loot.	“An arsenal conjured in a breath.”	—
Colossus of Will	Metacreativity	High Master	72	36	Long (120 ft)	—	Combat Round	Summons a massive construct (golem-scale) with devastating melee strikes and immense durability; acts under caster’s general intent.	Container: Target (1) + Stand Alone: Summon (Major, scaled up) (15 → 40)	Range: Long (7); Duration: Combat Round (5); Add scaling costs (20)	—	• Stats comparable to siege creature or giant. • Provides cover for allies behind it. • Vanishes if caster falls unconscious. • Consumes immense psionic strain; caster suffers –2 Willpower checks until short rest.	“Imagination given titanic form.”	—
Reality Bastion	Metacreativity	High Master	85	43	Line of Sight	Sphere/Cube Zone (60 ft)	Combat Round	Creates a fortified psionic stronghold over a 60 ft zone, providing cover, impeding enemy movement, and bolstering ally morale.	Container: AoE (2) + Stand Alone: Create/Destroy (Major, scaled up) (12 → 40)	Range: Line of Sight (10); Shape: Sphere/Cube Zone 60 ft (5 + 15 scaling = 20); Duration: Combat Round (5); Add scaling costs (8)	—	• Allies inside gain +10% defense. • Enemies treat terrain as difficult movement. • Bastion blocks most line-of-sight attacks from outside. • Risk: caster suffers 1d6 mental fatigue damage when dismissed.	“A fortress spanning thought’s horizon.”	—
Eternal Citadel	Metacreativity	Grand Master	150	75	Unlimited	Sphere/Cube Zone (200 ft)	Combat Round + Lingering (3 steps)	Manifests an immense psionic fortress spanning 200 ft zone; grants cover, boosts allies, hinders enemies, and leaves behind unstable ruins.	Container: AoE (2) + Stand Alone: Create/Destroy Major scaled up (12 → 80)	Range: Unlimited (15); Shape: Sphere/Cube Zone 200 ft (5 + 21 scaling = 26); Duration: Combat Round (5) + Lingering 3 steps (2+2+2=6); Add scaling costs (21)	—	• Allies within gain +15% defense and +1 Willpower checks. • Enemies within suffer –10% accuracy and move at half speed. • Leaving/entering zone requires Will save or disorientation. • After collapse, terrain remains unstable for 1d4 days, G.O.D sets effects. • Caster suffers 2d6 psychic backlash damage upon dismissal. • Legendary psionic signature: other metacreatives can sense the residue for weeks.	“Where thought stands eternal, walls rise against the tide.”	—
Ember Spark	Psychokinesis	Apprentice	9	5	Short (30 ft)	Single Target	Instantaneous	Deals 1 fire damage.	Container: Target (1) → Stand Alone: Damage (3)	Add-Ons: Range Short (4), Duration Instantaneous (1)	None	• May ignite flammable objects nearby. • Fire vanishes immediately after impact.	“The mind lights the spark; the world provides the flame.”	None
Stone Rattle	Psychokinesis	Apprentice	10	5	Touch	Single Target	Combat Step	Deals 1 damage and inflicts –5% accuracy penalty until step ends.	Container: Target (1) → Stand Alone: Damage (3) + Debuff (2)	Add-Ons: Range Touch (2), Duration Combat Step (2)	None	• Only effective on solid ground or stone. • Accuracy penalty applies only for one step.	“Even the smallest stone can topple the stride.”	None
Gust Lash	Psychokinesis	Apprentice	10	5	Short (30 ft)	Single Target	Instantaneous	Pushes target 10 ft away.	Container: Control (2) → Stand Alone: Push (3)	Add-Ons: Range Short (4), Duration Instantaneous (1)	None	• Push resolves immediately and may trigger terrain hazards. • Ineffective in environments with no air.	“The air itself answers my command.”	None
Flame Jet	Psychokinesis	Novice	16	8	Short (30 ft)	Cone (30 ft)	Instantaneous	All in cone take 2 fire damage.	Container: AoE (2) → Stand Alone: Damage (6)	Add-Ons: Range Short (4), Shape Cone 30 ft (3), Duration Instantaneous (1)	None	• May ignite terrain or objects. • Fire does not persist after initial cast.	“The will becomes fire, and fire becomes hunger.”	None
Rock Shard	Psychokinesis	Novice	15	8	Medium (60 ft)	Single Target	Instantaneous	Deals 3 damage of bludgeoning/piercing type.	Container: Target (1) → Stand Alone: Damage (9)	Add-Ons: Range Medium (5), Duration Instantaneous (1)	None	• Rock is mentally conjured from loose terrain, or force-shaped from raw earth nearby. • If no material is available, shard appears as pure force crystal.	“The world itself can be your weapon.”	None
Wind Shear	Psychokinesis	Novice	20	10	Short (30 ft)	Line (30 ft)	Instantaneous	All targets in line take 2 damage and are pushed 10 ft back.	Container: AoE (2) + Control (2) → Stand Alone: Damage (6), Push (3)	Add-Ons: Range Short (4), Shape Line 30 ft (3), Duration Instantaneous (1)	None	• Push effect applies after damage is dealt. • Loose terrain may scatter violently.	“The storm does not wait—it cuts where it wills.”	None
Molten Surge	Psychokinesis	Master	30	15	Medium (60 ft)	Sphere (10 ft)	Combat Round	All targets in sphere take 4 fire damage, terrain counts as hazardous until end of duration.	Container: AoE (2) → Stand Alone: Damage (9) + Stand Alone: Create/Destroy (basic, terrain fissure = 5)	Add-Ons: Range Medium (5), Shape Sphere 10 ft (5), Duration Combat Round (5)	None	• Terrain remains dangerous for allies and enemies alike. • Flammable objects ignite automatically. • Difficult terrain inside radius until duration ends. • Fire suppression effects may weaken or extinguish hazard.	“The earth remembers fire, and I remind it to speak.”	None
Lightning Chain	Psychokinesis	Master	32	16	Long (120 ft)	Multi-Target (3 extra)	Instantaneous	Deals 2 lightning damage to primary target, then arcs to 3 additional targets for 1 lightning damage each.	Container: Target (1) → Stand Alone: Damage (6)	Add-Ons: Range Long (7), Multi-Target +3 (3), Duration Instantaneous (1)	None	• Requires line of sight to secondary targets. • Secondary arcs must be within 30 ft of previous strike. • May overload metal objects/armor. • Thunderclap may reveal position.	“Once lightning leaps, it never stops until the storm is done.”	None
Crushing Grasp	Psychokinesis	Master	28	14	Medium (60 ft)	Single Target	Combat Round	Target is grappled and immobilized, taking 2 damage each step.	Container: Control (2) → Stand Alone: Grapple/Restrain (4) + Stand Alone: Immobilize (6) + Container: Target (1) → Stand Alone: Damage (6)	Add-Ons: Range Medium (5), Duration Combat Round (5)	None	• Target may attempt escape check each step. • Grip deals damage automatically each step. • Allies may attack restrained target at advantage. • High STR targets may resist initial grasp.	“The world itself is my hand, and you will not slip free.”	None
Maelstrom Vortex	Psychokinesis	High Master	72	36	Long (120 ft)	Sphere (30 ft)	Combat Round	All enemies in the vortex are pulled 20 ft inward each step, take 4 damage per step, and must save or be knocked prone.	Container: AoE (2) + Control (2) → Stand Alone: Pull (3) + Stand Alone: Knockdown (4) + Container: AoE Nested → Stand Alone: Damage (12)	Add-Ons: Range Long (7), Shape Sphere 30 ft (11), Duration Combat Round (5)	None	• Affects all within sphere, including allies. • Flying creatures pulled to ground. • Terrain becomes hazardous/difficult inside vortex. • Save required each step or prone. • Water/air elements may cause drowning risk in low-lying areas.	“The storm has a will, and I am its voice.”	None
Seismic Rupture	Psychokinesis	High Master	85	43	Line of Sight	Sphere (60 ft)	Combat Round	All creatures and structures in zone take 6 damage per step, terrain becomes unstable, collapse checks required.	Container: AoE (2) → Stand Alone: Damage (18) + Stand Alone: Create/Destroy Major (12)	Add-Ons: Range Line of Sight (10), Shape Sphere 60 ft (17), Duration Combat Round (5)	None	• Structures collapse automatically if not reinforced. • Allies also affected if in zone. • Creates permanent fissures and unstable terrain. • Repeated casting may alter entire landscapes. • Collapsing terrain may bury targets alive.	“The bones of the world do not forgive when broken.”	None
Cataclysm	Psychokinesis	Grand Master	150	75	Unlimited	Sphere (120 ft)	Combat Round + Lingering (3 steps)	All creatures, structures, and terrain within sphere suffer: 8 fire damage, 8 lightning damage, 6 bludgeoning damage from quakes, and are subjected to floods causing drowning risk. Zone remains unstable and hazardous for lingering duration.	Container: AoE (2) + Control (2) + Temporal/Spatial (5) → Stand Alone: Damage (24 fire + 24 lightning + 18 quake = 66) + Stand Alone: Create/Destroy Major (12) + Stand Alone: Spatial Bubble (8)	Add-Ons: Range Unlimited (15), Shape Sphere 120 ft (23), Duration Combat Round (5) + Lingering (3)	Modifiers: Backlash Risk (–5), Environmental Dependency (–3)	• Allies are not spared; caster may be destroyed by backlash. • Permanently alters terrain and ecosystems. • Requires G.O.D adjudication for drowning, collapse, and fire spread. • Save checks required each step against knockdown, immolation, or drowning. • Casting creates visible mark (scorched land, cracked sky). • May trigger lasting weather disruptions or elemental anomalies. • Caster must roll collapse check or suffer death at spell’s end.	“When the mind commands all elements, the world itself remembers fear.”	None
Cellular Mend	Psychometabolism	Apprentice	8	4	Touch	Single Target	Instantaneous	Heals 2 HP by accelerating natural recovery.	Container: Target (1) + Stand Alone: Healing (3+2 = 5)	Range: Touch (2) + Duration: Instantaneous (1)	—	• Cannot close massive wounds, only stabilizes. • May leave faint glowing scar tissue for a short time. • User feels brief fatigue post-cast.	“The body remembers how to be whole; the mind simply reminds it.”	—
Adrenal Surge	Psychometabolism	Apprentice	7	4	Self	Single Target	Combat Step	Buff grants +1 Strength and +1 Initiative for 1 step.	Container: Target (1) + Stand Alone: Buff (2+2 = 4)	Range: Self (1) + Duration: Combat Step (2)	—	• Grants +1 Strength and +1 Initiative only for the next action. • Caster suffers 1 step of fatigue after the effect ends. • Overuse can draw G.O.D.-ruled penalties.	“Burn bright, but burn briefly.”	—
Metabolic Purge	Psychometabolism	Apprentice	9	5	Touch	Single Target	Instantaneous	Applies a cleansing Buff that restores baseline function by suppressing/removing one poison, toxin, or fatigue condition.	Container: Target (1) + Stand Alone: Buff (2 + scaling +2 = 4)	Range: Touch (2); Duration: Instantaneous (1)	—	• Buff is conditional: only activates if a poison, toxin, or fatigue debuff is currently present. • Treated as Buff for system math; purge effect is narrative only. • Leaves caster/target fatigued briefly afterward. • Cannot remove magical curses or spiritual afflictions.	“The body spits out weakness when commanded to be strong.”	—
Cellular Regeneration	Psychometabolism	Novice	13	7	Touch	Single Target	Combat Round	Heals 2 vitality points.	Container: Target (1) + Stand Alone: Healing (3 + 2 scaling = 5)	Range: Touch (2); Duration: Combat Round (5)	—	• Restores 2 vitality points. • Can stabilize dying creatures if used immediately. • After effect ends, target suffers mild ache and fatigue.	“Life accelerated by will alone.”	—
Iron Skin	Psychometabolism	Novice	12	6	Touch	Single Target	Combat Round	Buff: +15% Damage Resistance (three increments).	Container: Target (1) + Stand Alone: Buff (2 + 2 scaling = 4)	Range: Touch (2); Duration: Combat Round (5)	—	• Reduces physical damage taken by 15%. • Does not stack with mundane armor bonuses (use higher). • After effect ends, target suffers –5% penalty to Dex-based checks until short rest.	“Flesh hardens as will steels it.”	—
Metabolic Burn	Psychometabolism	Novice	13	7	Self	—	Combat Round + Lingering (1 step)	Buff: +10% Attack and +1 Damage for duration.	Container: Target (1) + Stand Alone: Buff (2 + 2 scaling = 4)	Range: Self (1); Duration: Combat Round (5) + Lingering (2)	—	• Grants +10% to all attack rolls and +1 damage for the duration. • Lingering 1 step represents body overheating after burst. • After effect ends, caster suffers –1 Initiative for 1 round.	“Burn life to burn brighter.”	—
Hypermetabolic Overdrive	Psychometabolism	Master	24	12	Touch	—	Combat Round + Lingering (2 steps)	Buff: +20% Attack and +2 Damage; plus Accelerate/Hasten: +2 Initiative.	Container: Target (1) + Stand Alone: Buff (+20% attack, +2 damage) (7) + Stand Alone: Accelerate/Hasten (+2 init) (5)	Range: Touch (2); Duration: Combat Round (5) + Lingering 2 (4)	—	• After effect ends, target suffers –10% fatigue penalty for 1 round. • Cannot be stacked with other metabolic buffs. • Lingering steps represent overheating pulses.	“Burn beyond the body’s limits.”	—
Adaptive Regeneration	Psychometabolism	Master	22	11	Touch	—	Combat Round + Lingering (1 step)	Heals 4 vitality and grants +10% Defense.	Container: Target (1) + Stand Alone: Healing (4 points) (9) + Stand Alone: Buff (+10% defense) (3)	Range: Touch (2); Duration: Combat Round (5) + Lingering 1 (2)	—	• Healing and buff are simultaneous. • Cannot heal beyond natural maximum. • Post-effect ache/hunger until rest.	“The wound closes stronger than before it was made.”	—
Biofeedback Field	Psychometabolism	Master	24	12	Medium (60 ft)	Radius (20 ft)	Combat Round + Lingering (1 step)	Allies in the zone gain +10% Defense and resist minor poison/fatigue; enemies suffer –5% Attack.	Container: AoE (2) + Stand Alone: Buff (+10% defense to allies) (3) + Stand Alone: Debuff (–5% attack to enemies) (2)	Range: Medium (5); Shape: Radius 20 ft (5); Duration: Combat Round (5) + Lingering 1 (2)	—	• “Resist” is narrative: treat as Buff interaction vs. applicable effects. • Field ends abruptly; allies gain brief fatigue flavor. • Does not stack with stronger area buffs/debuffs—use the higher source.	“Life itself radiates in defiance.”	—
Metabolic Dominion	Psychometabolism	High Master	64	32	Medium (60 ft)	Radius (30 ft)	2 Combat Rounds + Lingering (1 step)	Allies gain +20% attack and +2 damage; enemies suffer –10% accuracy and –2 damage.	Container 1: AoE (2) + Stand Alone: Buff [attack +20% = 2 + 4 scaling = 6; damage +2 = 3 + 2 scaling = 5] = 11. Container 2: AoE (2) + Stand Alone: Debuff [accuracy –10% = 2 + 2 scaling = 4; damage –2 = 2 + 2 scaling = 4] = 10. Add-ons: Range Medium (5); Shape Radius 30 ft (3 + 2 scaling = 5); Duration 2 Rounds (5 + 5 = 10) + Lingering 1 (2). Total = 64.	Range: Medium (5); Shape: Radius (5); Duration: Combat Round ×2 (10) + Lingering (2)	—	• Affects allies and enemies simultaneously in the same zone. • Cannot stack with other metabolic buffs/debuffs. • Lingering step represents system shock (flavor penalty may apply). • G.O.D may allow enemy Willpower saves each round to reduce debuff by half.	“The battlefield beats with one heart—yours.”	—
Regenerative Metamorphosis	Psychometabolism	High Master	55	28	Touch	Single Target	Instantaneous + Lingering (2 steps)	Heals 8 vitality and restores one major injury (limb/organ); grants +15% defense for the duration.	Container: Target (1) + Stand Alone: Healing (3 + 14 scaling = 17) + Stand Alone: Buff (+15% defense = 2 + 3 scaling = 5) = 23. Add-ons: Range Touch (2); Duration Instantaneous (1) + Lingering 2 (4). Total = 55.	Range: Touch (2); Duration: Instant (1) + Lingering (4)	—	• Can restore lost limbs or organs if cast within 24 hours. • Healing effect capped at natural vitality max. • Lingering represents strain, tremors, or weakness after regrowth. • Cannot be repeated on the same target within a single day. • G.O.D may call for Constitution save to avoid collapse if cast repeatedly.	“Flesh does not remember loss—it remembers wholeness.”	—
